Name,Channel,Subscribers,Category
Rapid chess,https://youtube.com/channel/UCZ5MqmhUls6vg_XTNf2IAmQ/videos,30K,Sports
GG Theater,https://youtube.com/channel/UCfu7pPJxzpoiqXt3oZUm4LA/videos,117K,Film
Rimi Latvia,https://youtube.com/channel/UCqrVgenGL0Opkd4Lcf00HxA/videos,2.39K,People
Tele2Latvia,https://youtube.com/channel/UCDtC9je9llXfeXcXIEl8Seg/videos,1.12K,Tech
Говорящие Головы,https://youtube.com/channel/UCF7UEgdJQhhy-Xoxmot9pPA/videos,0,People
CKOMOPOX,https://youtube.com/channel/UCZQbTtvh0s-DGvQLVxv7sww/videos,10.5K,Music
MarvelousTV,https://youtube.com/channel/UCTThpkYPxTVfDIVvDWHSo7w/videos,9.05K,
Kreisais Krasts Rīga,https://youtube.com/channel/UC6Lqf-NmeTV3NoRZfI9_1IA/videos,14.8K,Entertainment
Jevgenij Ostapenko,https://youtube.com/channel/UCXEGsNcokcyiJAkzjgcHxQg/videos,17.8K,Music
Тень Куплинова,https://youtube.com/channel/UCJT-LwM5irFylPS3a3J8i7A/videos,63.2K,Games
БИТЛ,https://youtube.com/channel/UCAotNDLunzDxLG2YCUS69fQ/videos,96.4K,People
RG PIANO,https://youtube.com/channel/UCluWuVDidiavccjhILlKnHQ/videos,19K,Music
SvetRimm,https://youtube.com/channel/UCUqlwGK4E-jqVHfD4Mg3wlw/videos,17.3K,People
Стас Давыдов,https://youtube.com/channel/UCPEOh8hH_dNSIhUr4N3y6ng/videos,237K,People
7296272962,https://youtube.com/channel/UCQT-h--PG_pq2H5BsAF0GDA/videos,87.6K,Music
InstinctBeats,https://youtube.com/channel/UCz8e2aMqSgMZIdMZFTJ2T9w/videos,12.5K,Music
Techscrew,https://youtube.com/channel/UC86jxrs8UyeDUpH1lprbaww/videos,40.8K,Tech
ltvpanorama,https://youtube.com/channel/UCOSAAyJoybqsY5sZ76BaqFA/videos,26.8K,News
Татьяна А.,https://youtube.com/channel/UC5_8z2u83ysXidFWNVeZT8g/videos,27.4K,Music
Merc Mafia,https://youtube.com/channel/UC5he9bxl5_2YhT83l2OesLA/videos,10.4K,
VLaime25,https://youtube.com/channel/UCcOFZSYjbiU2-fWcvPQdYKg/videos,93.7K,Music
Radio Baltkom I Mixnews,https://youtube.com/channel/UCgE4V1tqxBsijZnhNAdjLeQ/videos,32.5K,News
Dons Latvia,https://youtube.com/channel/UCE9IiIgrKnNHPaYA3319ovg/videos,26.8K,Music
New Wavy Records,https://youtube.com/channel/UCBffS4Az7-nFi6awheMqOIA/videos,22.9K,Music
NakhimS,https://youtube.com/channel/UCKMWkBm5exiXgireZzgDJLA/videos,18.7K,People
